1
0.5494002,0.4396592,-0.2410938,0.6683812
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
20
1,-0.2858363,0
0.01054955,0.5880141,0.0670772,0.8059956
-0.01339545,0.5922333,0.03267537,0.8049925
0,0,0,0
0.02061645,0.595185,-0.1230325,0.793847
0,0,0,0
0.6733279,0.1220493,0.3726059,-0.6268162
0.7442225,0.1552692,0.09171218,-0.643128
0.710511,0.208486,-0.0153438,-0.6719173
0,0,0,0
0,0,0,0
0,0,0,0
0.5670402,0.1129233,0.1600488,0.8000615
0.5712094,-0.2635025,0.2852957,0.7231134
0.5720416,-0.3090045,0.2520852,0.7167553
0,0,0,0
0,0,0,0
0,0,0,0
-0.3551852,0.1449177,-0.6930507,0.6103468
-0.4059564,-0.04039429,-0.9122851,0.03610947
-0.4587817,-0.02887735,-0.8865504,0.05209881
0,0,0,0
0.4137398,0.5174512,0.4950337,0.5621438
-0.02557114,0.6048273,-0.01013327,0.7958816
-0.005819938,0.5402433,0.0188437,0.8412781
0,0,0,0
0.4954361,0.4305063,0.5873656,-0.4735074
0.5493404,0.4393506,-0.2408878,0.6687073
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
21
1,-0.2858364,0
0.01048712,0.5879912,0.06703867,0.8060163
-0.01344889,0.5922115,0.03263704,0.8050091
0,0,0,0
0.02056818,0.5951571,-0.1230746,0.7938627
0,0,0,0
0.6732132,0.1210043,0.3738663,-0.6263914
0.744479,0.1544188,0.09262318,-0.6429052
0.7110126,0.2086628,-0.01590914,-0.6713182
0,0,0,0
0,0,0,0
0,0,0,0
0.566481,0.1139393,0.1607378,0.8001755
0.5709503,-0.2635319,0.2853666,0.7232792
0.5717872,-0.3092164,0.2520266,0.7168872
0,0,0,0
0,0,0,0
0,0,0,0
-0.3553964,0.1447161,-0.6929705,0.6103629
-0.4063188,-0.04046059,-0.9121225,0.03607047
-0.4587934,-0.02889733,-0.8865453,0.0520693
0,0,0,0
0.4136702,0.5175225,0.4950284,0.5621338
-0.02563511,0.6044502,-0.01012824,0.7961661
-0.006019028,0.5402142,0.01892574,0.8412935
0,0,0,0
0.494259,0.431322,0.5870904,-0.4743358
0.5494102,0.4396522,-0.2411094,0.6683718
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
22
1,-0.2858366,0
0.01136455,0.5883746,0.06743781,0.8056912
-0.01266754,0.5925923,0.03300753,0.8047262
0,0,0,0
0.02117632,0.5956078,-0.1227777,0.7935546
0,0,0,0
0.6734604,0.1314066,0.3612984,-0.6313851
0.7398198,0.1643687,0.08323921,-0.6470867
0.7047462,0.2083748,-0.01160484,-0.6780697
0,0,0,0
0,0,0,0
0,0,0,0
0.5726894,0.1015341,0.151974,0.7991382
0.5744579,-0.2620916,0.285208,0.7210841
0.5752369,-0.3071499,0.252199,0.7149526
0,0,0,0
0,0,0,0
0,0,0,0
-0.3527195,0.1476555,-0.6940178,0.6100214
-0.4018242,-0.03962416,-0.9141295,0.03653332
-0.4591563,-0.02845385,-0.8863557,0.05234207
0,0,0,0
0.4147485,0.516804,0.4949349,0.5620826
-0.02477623,0.6098468,-0.00999277,0.792069
-0.003394965,0.5407884,0.01799787,0.8409595
0,0,0,0
0.509542,0.4205858,0.5905275,-0.463413
0.5485289,0.4356807,-0.2384448,0.6726386
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
23
1,-0.2858367,0
0.01054029,0.5879645,0.06708834,0.8060309
-0.01346231,0.5921559,0.03264172,0.8050495
0,0,0,0
0.02048281,0.5950606,-0.1231317,0.7939284
0,0,0,0
0.673851,0.123338,0.3713032,-0.626775
0.7451831,0.156002,0.09087855,-0.6419555
0.7114878,0.2076665,-0.01452463,-0.6711552
0,0,0,0
0,0,0,0
0,0,0,0
0.5669572,0.112991,0.1604146,0.8000376
0.5708957,-0.2634071,0.2856477,0.7232568
0.5716151,-0.3084626,0.2528916,0.7170447
0,0,0,0
0,0,0,0
0,0,0,0
-0.3552119,0.1446131,-0.6930359,0.6104203
-0.405969,-0.04063059,-0.9122686,0.03612245
-0.4586991,-0.02923919,-0.8865816,0.05209136
0,0,0,0
0.4135925,0.5173463,0.4950975,0.5622924
-0.02558675,0.6055202,-0.01023026,0.7953531
-0.00508652,0.540053,0.01828872,0.8414172
0,0,0,0
0.4949661,0.430881,0.5872808,-0.4737633
0.549354,0.4394005,-0.240938,0.6686452
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
24
1,-0.2858367,0
0.01055124,0.5879767,0.06708373,0.8060223
-0.01344301,0.5921742,0.03263908,0.8050366
0,0,0,0
0.02050088,0.5950871,-0.1231377,0.7939073
0,0,0,0
0.6737288,0.1230363,0.3716169,-0.62678
0.7449579,0.1559142,0.0910809,-0.6422096
0.7113265,0.2078966,-0.01479372,-0.671249
0,0,0,0
0,0,0,0
0,0,0,0
0.5669333,0.1129809,0.1603535,0.8000683
0.5709639,-0.2633854,0.2856103,0.7232259
0.5717052,-0.3085793,0.2527209,0.7169832
0,0,0,0
0,0,0,0
0,0,0,0
-0.3551987,0.1446814,-0.6930426,0.6104043
-0.405962,-0.04058316,-0.912274,0.03611725
-0.4587279,-0.02915972,-0.8865698,0.05208538
0,0,0,0
0.4136261,0.5173655,0.4950812,0.5622643
-0.02557578,0.6050099,-0.01018634,0.7957421
-0.005488941,0.5399802,0.01858498,0.8414548
0,0,0,0
0.495103,0.4307763,0.5873088,-0.4736805
0.5493524,0.4393762,-0.2409317,0.6686651
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
25
1,-0.2858368,0
0.01054543,0.587981,0.06707161,0.8060202
-0.01344053,0.5921835,0.03262885,0.8050301
0,0,0,0
0.02050396,0.5951012,-0.1231504,0.7938945
0,0,0,0
0.6736102,0.1225739,0.3721358,-0.6266897
0.7448421,0.155656,0.09143746,-0.6423558
0.7113125,0.2081143,-0.01513105,-0.6711889
0,0,0,0
0,0,0,0
0,0,0,0
0.5667922,0.1131996,0.1604595,0.8001159
0.57096,-0.2633798,0.2855931,0.7232374
0.5717195,-0.3087194,0.2525726,0.7169633
0,0,0,0
0,0,0,0
0,0,0,0
-0.3552359,0.1446888,-0.6930294,0.6103957
-0.4060373,-0.04056096,-0.9122418,0.03610513
-0.4587517,-0.02910248,-0.8865598,0.05207479
0,0,0,0
0.4136361,0.5173965,0.4950675,0.5622404
-0.02557968,0.60471,-0.01015765,0.7959701
-0.005717439,0.5399689,0.01874889,0.8414571
0,0,0,0
0.4949441,0.4308795,0.5872683,-0.4738031
0.5493656,0.4394258,-0.2409756,0.6686056
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
26
1,-0.2858368,0
0.01050775,0.5879711,0.06704503,0.8060302
-0.01346937,0.5921769,0.03260412,0.8050355
0,0,0,0
0.02047989,0.5950943,-0.1231762,0.7938964
0,0,0,0
0.6734778,0.1217273,0.3731285,-0.6264068
0.7448953,0.1550048,0.09217811,-0.6423457
0.7115638,0.2082998,-0.01558051,-0.6708544
0,0,0,0
0,0,0,0
0,0,0,0
0.5664103,0.1138759,0.1608909,0.8002039
0.5708266,-0.2633776,0.2856284,0.7233298
